metric,value,unit,classification,source_file,source_location,author_quote_or_label,derivation,notes
backtest_start,2017-08-30,date,AUTHOR_REPORTED_EXACT,qc_probe/reference_original_hmm_hybrid.py,line 28,"self.SetStartDate(2017, 8, 30)",,"Article text (docs/hmm-paper-analysis.md line 36) gives only month precision (""2017-09""); per this project's own code-over-text precedence rule (docs/hmm-paper-analysis.md section 11), the code's exact date is used."
backtest_end,2020-04-01,date,AUTHOR_REPORTED_EXACT,qc_probe/reference_original_hmm_hybrid.py,line 29,"self.SetEndDate(2020, 4, 1)",,"Article states ""2020-04"" (month precision); consistent with code at month granularity."
initial_equity,100000,USD,AUTHOR_REPORTED_EXACT,qc_probe/reference_original_hmm_hybrid.py,line 30,self.SetCash(100000),,
final_equity,,USD,NOT_REPORTED,,,,,"No ending/final portfolio value found in any saved article excerpt or code. qc_probe/hmm_hybrid_instrumented.py logs a per-day self.daily_return at runtime (~line 248) -- that is instrumentation, not a published final-equity figure."
net_profit,,USD,NOT_REPORTED,,,,final_equity - initial_equity (blocked: final_equity NOT_REPORTED),Cannot derive without final_equity.
total_return_pct,,%,AMBIGUOUS,docs/hmm-paper-analysis.md,"line 226 (section 9, item 8)","""Returns 2.4491"" (listed among ""Цільові метрики (PDF Table 4)"")",,"A number labeled ""Returns 2.4491"" is recorded and attributed to the article's Table 4, but its exact definition (cumulative return as a fraction/percent, a terminal growth multiple, an annualized figure, or something else) is not stated in the saved excerpt. This session could not re-fetch the live PDF to check the table's column header (mdpi.com and 4 independent mirror URLs found via web search all returned HTTP 403; see notes on Sharpe_ratio row). Not mapped onto this field without a confirmed unit/definition."
CAGR_pct,,%,NOT_REPORTED,,,,,"No metric explicitly labeled CAGR/annualized return found in any saved material. May be related to the ambiguous ""Returns 2.4491"" figure above, but that is not confirmed to be a CAGR."
benchmark_name,S&P500 ETF,,AUTHOR_REPORTED_EXACT,docs/hmm-paper-analysis.md,line 209-210 (section 8),"""Решта 4 моделі (FF3, Carhart, AQR, S&P500 ETF) у статті -- лише для порівняння якості по режимах (Tables 4-7)""",,"Named as one of four comparison models in the article; the article's own (summarized) text calls these ""comparison models,"" not explicitly ""the benchmark."" No SetBenchmark(...) call exists in the author's code (grep-confirmed). Treated as the most likely benchmark candidate since it is the passive index ETF among the four, but this is not an explicit ""benchmark"" label."
benchmark_return_pct,,%,NOT_REPORTED,,,,,No exact S&P500 ETF return figure recorded in any saved material for the 2017-08-30..2020-04-01 window.
excess_return_pct,,%,NOT_REPORTED,,,,total_return_pct - benchmark_return_pct (blocked: both inputs unavailable/ambiguous),Blocked on total_return_pct (AMBIGUOUS) and benchmark_return_pct (NOT_REPORTED).
maximum_drawdown_pct,12.83,%,AUTHOR_REPORTED_EXACT,docs/hmm-paper-analysis.md,line 226,"""Max DD 0.1283"" (listed among ""Цільові метрики (PDF Table 4)"")","0.1283 read as a decimal fraction of equity, x100 = 12.83% (standard drawdown-fraction convention; same number in percent form, not an estimate)","See row/model-attribution and live-re-verification caveat on Sharpe_ratio row -- applies identically here."
Sharpe_ratio,2.017,ratio (dimensionless),AUTHOR_REPORTED_EXACT,docs/hmm-paper-analysis.md,line 226,"""Sharpe 2.017"" (listed among ""Цільові метрики (PDF Table 4)"")",,"Sourced from docs/hmm-paper-analysis.md, itself produced from a direct reading of the full article PDF in an earlier phase of this project (that document's own header states both the PDF and the author's code were ""отримано повністю""). This session could NOT independently re-fetch the live PDF to re-verify: mdpi.com -> HTTP 403; 4 mirror URLs located via web search (researchgate.net, semanticscholar.org, econpapers.repec.org, scribd.com) -> HTTP 403 each; a control fetch to en.wikipedia.org also returned HTTP 403, indicating general external web access is blocked in this environment (consistent with the earlier-documented QuantConnect network blocker in qc_probe/README.md). Attribution of these 5 numbers to the HMM Hybrid strategy's OWN row (rather than one of the 4 comparison models FF3/Carhart/AQR/S&P500 ETF also discussed in the article) is a reasoned INFERENCE, not a verbatim-confirmed row label: docs/hmm-paper-analysis.md frames them explicitly as ""Цільові метрики"" (validation targets for the single model being replicated), structurally distinct from Tables 5-7, which that same document describes as per-regime comparisons across the four OTHER models."
volatility_pct,,%,NOT_REPORTED,,,,,No annualized/period volatility figure found in any saved material.
alpha,,,NOT_REPORTED,,,,,No alpha figure found in any saved material.
fees_status,,,NOT_REPORTED,,,,,"No explicit author statement (in any saved article excerpt) about whether Table 4 results are gross or net of fees. Code-level fact, not a reported status: the author's source contains no explicit fee override (grep -in \"fee\" qc_probe/reference_original_hmm_hybrid.py -> no matches) -- QuantConnect's platform default fee model would apply if actually backtested on-platform, but that is a mechanism inference, not a published statement about Table 4's cost treatment."
commissions_status,,,NOT_REPORTED,,,,,"Same as fees_status: no explicit commission override in code (grep-confirmed), no author statement found."
slippage_status,,,NOT_REPORTED,,,,,"Same as fees_status: no slippage model override in code (grep-confirmed), no author statement found."
Information_Ratio_SUPPLEMENTARY,1.64,ratio (dimensionless),AUTHOR_REPORTED_EXACT,docs/hmm-paper-analysis.md,line 226,"""IR 1.64"" (listed among ""Цільові метрики (PDF Table 4)"")",,"Not one of the required fields -- included as supplementary evidence directly supporting the risk-adjusted verdict. Same row-attribution/live-re-verification caveat as Sharpe_ratio."
Treynor_ratio_SUPPLEMENTARY,0.264,ratio (dimensionless),AUTHOR_REPORTED_EXACT,docs/hmm-paper-analysis.md,line 226,"""Treynor 0.264"" (listed among ""Цільові метрики (PDF Table 4)"")",,"Not one of the required fields -- included as supplementary evidence directly supporting the risk-adjusted verdict. Same row-attribution/live-re-verification caveat as Sharpe_ratio."
